Actual_Trend,Predicted_Trend,Values
1,1,32244
1,-1,32560
-1,1,32030
1,1,32105
1,-1,32237
1,1,32432
-1,-1,32394
1,-1,32717
1,1,32859
1,-1,33274
1,1,33601
-1,-1,33402
1,-1,33482
1,1,33485
1,-1,33586
1,1,33684
-1,-1,33646
1,-1,34029
-1,1,33886
1,1,33987
-1,-1,33976
-1,1,33897
-1,-1,33786
1,1,33808
